,date, Per Capita (US $), % of GDP, ,Country
9,2009-12-31,4181.4355,6.2421,,san_marino
10,2010-12-31,3983.751,6.6133,,san_marino
11,2011-12-31,4237.541,7.3972,,san_marino
12,2012-12-31,3974.9221,7.9526,,san_marino
13,2013-12-31,3984.1687,7.7258,,san_marino
14,2014-12-31,3825.4807,7.5298,,san_marino
15,2015-12-31,3061.5632,7.1783,,san_marino
16,2016-12-31,2950.002,6.7288,,san_marino
17,2017-12-31,3278.8984,7.2232,,san_marino
18,2018-12-31,3388.4788,6.9143,,san_marino
19,2019-12-31,3050.9182,6.3901,,san_marino
0,2000-12-31,56.505,6.4993,,serbia
1,2001-12-31,112.2206,6.8606,,serbia
2,2002-12-31,173.2553,8.06,,serbia
3,2003-12-31,230.0887,8.1295,,serbia
4,2004-12-31,274.4553,8.2402,,serbia
5,2005-12-31,307.5471,8.2781,,serbia
6,2006-12-31,371.506,8.488,,serbia
7,2007-12-31,547.2272,9.37,,serbia
8,2008-12-31,671.887,9.4759,,serbia
9,2009-12-31,575.2621,9.3398,,serbia
10,2010-12-31,545.3338,9.5207,,serbia
11,2011-12-31,618.8942,9.1075,,serbia
12,2012-12-31,559.9054,9.3218,,serbia
13,2013-12-31,627.533,9.3059,,serbia
14,2014-12-31,608.8586,9.2396,,serbia
15,2015-12-31,491.2518,8.8132,,serbia
16,2016-12-31,486.4294,8.4589,,serbia
17,2017-12-31,515.8459,8.2204,,serbia
18,2018-12-31,617.0865,8.5317,,serbia
19,2019-12-31,641.025,8.6721,,serbia
0,2000-12-31,796.647,7.8041,,slovenia
1,2001-12-31,826.2258,7.876,,slovenia
2,2002-12-31,944.8714,8.0212,,slovenia
3,2003-12-31,1203.0635,8.0988,,slovenia
4,2004-12-31,1368.6487,7.9396,,slovenia
5,2005-12-31,1449.1892,7.996,,slovenia
6,2006-12-31,1541.6643,7.8232,,slovenia
7,2007-12-31,1795.9504,7.5114,,slovenia
8,2008-12-31,2179.4524,7.8547,,slovenia
9,2009-12-31,2125.0569,8.5408,,slovenia
10,2010-12-31,2017.1466,8.565,,slovenia
11,2011-12-31,2147.8052,8.5364,,slovenia
12,2012-12-31,1974.854,8.7151,,slovenia
13,2013-12-31,2055.3813,8.7403,,slovenia
14,2014-12-31,2062.3848,8.502,,slovenia
15,2015-12-31,1775.8608,8.4982,,slovenia
16,2016-12-31,1835.4073,8.463,,slovenia
17,2017-12-31,1925.0348,8.1852,,slovenia
18,2018-12-31,2169.5791,8.2794,,slovenia
19,2019-12-31,2219.1006,8.5239,,slovenia
0,2000-12-31,1005.284,6.7992,,spain
1,2001-12-31,1045.0507,6.769,,spain
2,2002-12-31,1174.5793,6.8005,,spain
3,2003-12-31,1641.0587,7.5639,,spain
4,2004-12-31,1924.4453,7.6591,,spain
5,2005-12-31,2060.3308,7.732,,spain
6,2006-12-31,2242.1782,7.8291,,spain
7,2007-12-31,2606.179,7.9184,,spain
8,2008-12-31,2995.0498,8.3819,,spain
9,2009-12-31,2937.5344,9.1071,,spain
10,2010-12-31,2789.5339,9.1186,,spain
11,2011-12-31,2909.1177,9.1686,,spain
12,2012-12-31,2591.0161,9.157,,spain
13,2013-12-31,2629.6055,9.0674,,spain
14,2014-12-31,2679.6294,9.0894,,spain
15,2015-12-31,2349.0544,9.1262,,spain
16,2016-12-31,2376.7212,8.9524,,spain
17,2017-12-31,2526.7205,8.9569,,spain
18,2018-12-31,2740.2693,8.9904,,spain
19,2019-12-31,2711.1929,9.1321,,spain
0,2000-12-31,2173.1938,7.3269,,sweden
1,2001-12-31,2155.8542,7.9003,,sweden
2,2002-12-31,2459.0984,8.2101,,sweden
3,2003-12-31,3110.1997,8.3172,,sweden
4,2004-12-31,3488.1729,8.1296,,sweden
5,2005-12-31,3547.6333,8.1508,,sweden
6,2006-12-31,3765.3975,8.0523,,sweden
7,2007-12-31,4310.3267,7.9961,,sweden
8,2008-12-31,4627.564,8.2082,,sweden
9,2009-12-31,4136.1733,8.7704,,sweden
10,2010-12-31,4416.1455,8.3196,,sweden
11,2011-12-31,6351.2168,10.4165,,sweden
12,2012-12-31,6254.4424,10.7352,,sweden
13,2013-12-31,6696.8721,10.9049,,sweden
14,2014-12-31,6605.9116,10.9479,,sweden
15,2015-12-31,5598.6816,10.8042,,sweden
16,2016-12-31,5680.7256,10.8524,,sweden
17,2017-12-31,5837.7705,10.7851,,sweden
18,2018-12-31,6005.0659,10.9411,,sweden
19,2019-12-31,5671.3857,10.8675,,sweden
0,2000-12-31,3559.8198,9.114,,switzerland
1,2001-12-31,3763.3845,9.4392,,switzerland
2,2002-12-31,4211.7295,9.8522,,switzerland
3,2003-12-31,5018.5273,10.1094,,switzerland
4,2004-12-31,5608.7031,10.185,,switzerland
5,2005-12-31,5673.9404,10.0042,,switzerland
6,2006-12-31,5671.9814,9.5334,,switzerland
7,2007-12-31,6154.7031,9.3636,,switzerland
8,2008-12-31,7120.6519,9.4809,,switzerland
9,2009-12-31,7297.3799,10.0691,,switzerland
10,2010-12-31,7705.1758,9.9416,,switzerland
11,2011-12-31,9191.959,10.0191,,switzerland
12,2012-12-31,8917.1191,10.2488,,switzerland
13,2013-12-31,9275.7988,10.4621,,switzerland
14,2014-12-31,9578.6455,10.6164,,switzerland
15,2015-12-31,9382.791,11.0079,,switzerland
16,2016-12-31,9439.4248,11.3001,,switzerland
17,2017-12-31,9606.3496,11.481,,switzerland
18,2018-12-31,9870.6641,11.38,,switzerland
19,2019-12-31,9666.3379,11.2915,,switzerland
0,2000-12-31,35.1318,5.3069,,ukraine
1,2001-12-31,44.7864,5.7253,,ukraine
2,2002-12-31,52.8765,5.9922,,ukraine
3,2003-12-31,68.9155,6.5457,,ukraine
4,2004-12-31,84.5825,6.1686,,ukraine
5,2005-12-31,116.3312,6.3462,,ukraine
6,2006-12-31,148.3751,6.417,,ukraine
7,2007-12-31,185.9116,6.0171,,ukraine
8,2008-12-31,215.7868,5.4973,,ukraine
9,2009-12-31,168.2864,6.6077,,ukraine
10,2010-12-31,202.3409,6.8123,,ukraine
11,2011-12-31,243.7808,6.8162,,ukraine
12,2012-12-31,275.2193,7.1167,,ukraine
13,2013-12-31,280.9767,6.9416,,ukraine
14,2014-12-31,212.7697,7.1896,,ukraine
15,2015-12-31,157.5775,7.7761,,ukraine
16,2016-12-31,157.5377,7.5454,,ukraine
17,2017-12-31,187.3952,7.4333,,ukraine
18,2018-12-31,222.4754,7.5199,,ukraine
19,2019-12-31,248.1335,7.0986,,ukraine
0,2000-12-31,2029.5249,7.1953,,united_kingdom
1,2001-12-31,2101.8364,7.5672,,united_kingdom
2,2002-12-31,2386.2124,7.9414,,united_kingdom
3,2003-12-31,2796.3411,8.1124,,united_kingdom
4,2004-12-31,3384.6052,8.39,,united_kingdom
5,2005-12-31,3552.6431,8.4414,,united_kingdom
6,2006-12-31,3842.6758,8.6082,,united_kingdom
7,2007-12-31,4450.1289,8.7854,,united_kingdom
8,2008-12-31,4301.1167,9.0644,,united_kingdom
9,2009-12-31,3841.8789,9.8809,,united_kingdom
10,2010-12-31,3904.5071,9.8353,,united_kingdom
11,2011-12-31,4156.5771,9.8485,,united_kingdom
12,2012-12-31,4222.085,9.9142,,united_kingdom
13,2013-12-31,4344.6685,9.9757,,united_kingdom
14,2014-12-31,4740.1104,9.9504,,united_kingdom
15,2015-12-31,4477.2856,9.9007,,united_kingdom
16,2016-12-31,4067.1758,9.8731,,united_kingdom
17,2017-12-31,3966.0583,9.8079,,united_kingdom
18,2018-12-31,4270.2212,9.9038,,united_kingdom
19,2019-12-31,4312.8892,10.154,,united_kingdom
